subject	activityName	featDomain	featInstrument	featAcceleration	featVariable	featJerk	featMagnitude	featAxis	count	avg
1	LAYING	Freq	Accelerometer	Body	Mean	NA	NA	X	48	-0.976725059791667
1	LAYING	Freq	Accelerometer	Body	Mean	NA	NA	Y	48	-0.979800877916667
1	LAYING	Freq	Accelerometer	Body	Mean	NA	NA	Z	48	-0.984380981875
1	LAYING	Freq	Accelerometer	Body	Mean	NA	Magnitude	NA	48	-0.975110196458333
1	LAYING	Freq	Accelerometer	Body	Mean	Jerk	NA	X	48	-0.985813630833333
1	LAYING	Freq	Accelerometer	Body	Mean	Jerk	NA	Y	48	-0.982768250416667
1	LAYING	Freq	Accelerometer	Body	Mean	Jerk	NA	Z	48	-0.986197134583333
1	LAYING	Freq	Accelerometer	Body	Mean	Jerk	Magnitude	NA	48	-0.985374114791667
1	LAYING	Freq	Accelerometer	Body	Std	NA	NA	X	48	-0.973246482083333
1	LAYING	Freq	Accelerometer	Body	Std	NA	NA	Y	48	-0.981025105625
1	LAYING	Freq	Accelerometer	Body	Std	NA	NA	Z	48	-0.984792185
1	LAYING	Freq	Accelerometer	Body	Std	NA	Magnitude	NA	48	-0.975121387916667
1	LAYING	Freq	Accelerometer	Body	Std	Jerk	NA	X	48	-0.987250255833333
1	LAYING	Freq	Accelerometer	Body	Std	Jerk	NA	Y	48	-0.984987392916667
1	LAYING	Freq	Accelerometer	Body	Std	Jerk	NA	Z	48	-0.989345368541667
1	LAYING	Freq	Accelerometer	Body	Std	Jerk	Magnitude	NA	48	-0.984568489166667
1	LAYING	Freq	Gyroscope	NA	Mean	NA	NA	X	48	-0.9864311425
1	LAYING	Freq	Gyroscope	NA	Mean	NA	NA	Y	48	-0.983321635416667
1	LAYING	Freq	Gyroscope	NA	Mean	NA	NA	Z	48	-0.9626718875
1	LAYING	Freq	Gyroscope	NA	Mean	NA	Magnitude	NA	48	-0.972112972708333
1	LAYING	Freq	Gyroscope	NA	Mean	Jerk	Magnitude	NA	48	-0.990248702291667
1	LAYING	Freq	Gyroscope	NA	Std	NA	NA	X	48	-0.988860685833333
1	LAYING	Freq	Gyroscope	NA	Std	NA	NA	Y	48	-0.981910616458333
1	LAYING	Freq	Gyroscope	NA	Std	NA	NA	Z	48	-0.963174222291667
1	LAYING	Freq	Gyroscope	NA	Std	NA	Magnitude	NA	48	-0.96109837875
1	LAYING	Freq	Gyroscope	NA	Std	Jerk	Magnitude	NA	48	-0.989492660416667
1	LAYING	Time	Accelerometer	Body	Mean	NA	NA	X	48	0.281373403958333
1	LAYING	Time	Accelerometer	Body	Mean	NA	NA	Y	48	-0.0181587397583333
1	LAYING	Time	Accelerometer	Body	Mean	NA	NA	Z	48	-0.107245610416667
1	LAYING	Time	Accelerometer	Body	Mean	NA	Magnitude	NA	48	-0.977435485208333
1	LAYING	Time	Accelerometer	Body	Mean	Jerk	NA	X	48	0.0825972511666667
1	LAYING	Time	Accelerometer	Body	Mean	Jerk	NA	Y	48	0.012254788451875
1	LAYING	Time	Accelerometer	Body	Mean	Jerk	NA	Z	48	-0.00180264895625
1	LAYING	Time	Accelerometer	Body	Mean	Jerk	Magnitude	NA	48	-0.987741696041667
1	LAYING	Time	Accelerometer	Body	Std	NA	NA	X	48	-0.974059464791667
1	LAYING	Time	Accelerometer	Body	Std	NA	NA	Y	48	-0.98027739875
1	LAYING	Time	Accelerometer	Body	Std	NA	NA	Z	48	-0.984233296875
1	LAYING	Time	Accelerometer	Body	Std	NA	Magnitude	NA	48	-0.972873912916667
1	LAYING	Time	Accelerometer	Body	Std	Jerk	NA	X	48	-0.98587216875
1	LAYING	Time	Accelerometer	Body	Std	Jerk	NA	Y	48	-0.98317254125
1	LAYING	Time	Accelerometer	Body	Std	Jerk	NA	Z	48	-0.988442014375
1	LAYING	Time	Accelerometer	Body	Std	Jerk	Magnitude	NA	48	-0.98551807625
1	LAYING	Time	Accelerometer	Gravity	Mean	NA	NA	X	48	-0.509754238125
1	LAYING	Time	Accelerometer	Gravity	Mean	NA	NA	Y	48	0.752536639375
1	LAYING	Time	Accelerometer	Gravity	Mean	NA	NA	Z	48	0.646834879583333
1	LAYING	Time	Accelerometer	Gravity	Mean	NA	Magnitude	NA	48	-0.977435485208333
1	LAYING	Time	Accelerometer	Gravity	Std	NA	NA	X	48	-0.959014441458333
1	LAYING	Time	Accelerometer	Gravity	Std	NA	NA	Y	48	-0.988211865208333
1	LAYING	Time	Accelerometer	Gravity	Std	NA	NA	Z	48	-0.984230418125
1	LAYING	Time	Accelerometer	Gravity	Std	NA	Magnitude	NA	48	-0.972873912916667
1	LAYING	Time	Gyroscope	NA	Mean	NA	NA	X	48	-0.01847660675
1	LAYING	Time	Gyroscope	NA	Mean	NA	NA	Y	48	-0.111800824583333
1	LAYING	Time	Gyroscope	NA	Mean	NA	NA	Z	48	0.144882846104167
